"","Korea","Saudi","Taiwan","Mexico","USA","China","Canada","Japan","HongKong","Date"
"2023-05-30",2585.52001953125,10660.9404296875,17274.560546875,54182.26953125,3997.34008789062,3260.6201171875,20346.5,31913.740234375,18551.109375,2023-05-30
"2023-05-31",2577.1201171875,10531.900390625,17184.91015625,53924.19140625,3991.05004882812,3244.48999023438,20086.69921875,31641.26953125,18595.779296875,2023-05-31
"2023-06-01",2569.169921875,10531.830078125,17202.400390625,53068.73046875,4012.32006835938,3254.56005859375,19774.900390625,32265.169921875,18234.26953125,2023-06-01
"2023-06-02",2601.36010742188,10536.91015625,17059.240234375,53388.66015625,3970.0400390625,3189.25,19588.900390625,32434,18216.91015625,2023-06-02
"2023-06-05",2615.40991210938,10647.1796875,16887.900390625,53426.76953125,3982.23999023438,3178.42993164062,19694.19921875,33018.6484375,18949.939453125,2023-06-05
"2023-06-07",2615.60009765625,10634.0595703125,16935.630859375,52794.53125,3970.14990234375,3176.17993164062,19378.80078125,33502.421875,19108.5,2023-06-07
"2023-06-08",2610.85009765625,10617.490234375,16942.30078125,53012.25,3951.38989257812,3150.1298828125,19539,33485.48828125,19099.279296875,2023-06-08
"2023-06-09",2641.15991210938,10744.2197265625,16915.5390625,52691.66015625,3981.35009765625,3163.73999023438,19387.69921875,33706.078125,19252,2023-06-09
"2023-06-12",2629.35009765625,10726.8701171875,17084.19921875,52085.6015625,4045.63989257812,3131.94995117188,19519.400390625,33370.421875,19299.1796875,2023-06-12
"2023-06-13",2637.94995117188,10728.4501953125,17140.76953125,52505.69921875,4048.419921875,3092.97998046875,19654.900390625,33388.91015625,19389.94921875,2023-06-13
"2023-06-14",2619.080078125,10682.900390625,17056.4296875,51925.609375,3986.3701171875,3120.330078125,19532.80078125,33575.140625,19404.310546875,2023-06-14
"2023-06-15",2608.5400390625,10664.0400390625,16762.169921875,52652.6484375,3992.01000976562,3078.39990234375,19459.900390625,33264.87890625,19521.419921875,2023-06-15
